"","rowname","iter","sim","approach","value"
"320","R2",54,"I","fitsumStats",0.999394029976238
"321","R2",54,"I","fit_NT_stats",0.999274706165822
"322","rmse",54,"I","fit_all_stats",0.0785051027642535
"323","rmse",54,"I","fitsumStats",0.00859189049622693
"324","rmse",54,"I","fit_NT_stats",0.00939983338307228
"325","R2",55,"I","fit_all_stats",0.99866131850724
"326","R2",55,"I","fitsumStats",0.999111080597205
"327","R2",55,"I","fit_NT_stats",0.998080568604077
"328","rmse",55,"I","fit_all_stats",0.0813237754546601
"329","rmse",55,"I","fitsumStats",0.0112582172488792
"330","rmse",55,"I","fit_NT_stats",0.016543398421144
"331","R2",56,"I","fit_all_stats",0.999769685456823
"332","R2",56,"I","fitsumStats",0.999303314645926
"333","R2",56,"I","fit_NT_stats",0.999386283121553
"334","rmse",56,"I","fit_all_stats",0.0217600404519587
"335","rmse",56,"I","fitsumStats",0.00532441772274502
"336","rmse",56,"I","fit_NT_stats",0.0049973275207276
"337","R2",57,"I","fit_all_stats",0.99897774209604
"338","R2",57,"I","fitsumStats",0.999585621191642
"339","R2",57,"I","fit_NT_stats",0.998980953313935
"340","rmse",57,"I","fit_all_stats",0.0608190951820463
"341","rmse",57,"I","fitsumStats",0.00812850464312018
"342","rmse",57,"I","fit_NT_stats",0.0127470277148707
"343","R2",58,"I","fit_all_stats",0.998628053444508
"344","R2",58,"I","fitsumStats",0.998941445528698
"345","R2",58,"I","fit_NT_stats",0.999171281725943
"346","rmse",58,"I","fit_all_stats",0.0873838549107143
"347","rmse",58,"I","fitsumStats",0.0149686305053536
"348","rmse",58,"I","fit_NT_stats",0.0132442972841152
"349","R2",59,"I","fit_all_stats",0.999813159512047
"350","R2",59,"I","fitsumStats",0.999258142118113
"351","R2",59,"I","fit_NT_stats",0.999387769259534
"352","rmse",59,"I","fit_all_stats",0.0192587697558766
"353","rmse",59,"I","fitsumStats",0.00494055230496832
"354","rmse",59,"I","fit_NT_stats",0.00448820525460973
"355","R2",60,"I","fit_all_stats",0.998740182560132
"356","R2",60,"I","fitsumStats",0.999233859372893
"357","R2",60,"I","fit_NT_stats",0.997607892622507
"358","rmse",60,"I","fit_all_stats",0.0737578257757345
"359","rmse",60,"I","fitsumStats",0.010040548817383
"360","rmse",60,"I","fit_NT_stats",0.0177416309404384
"361","R2",61,"I","fit_all_stats",0.998976768784517
"362","R2",61,"I","fitsumStats",0.999584653081287
"363","R2",61,"I","fit_NT_stats",0.998981021389572
"364","rmse",61,"I","fit_all_stats",0.0608553248709806
"365","rmse",61,"I","fitsumStats",0.00813940579967436
"366","rmse",61,"I","fit_NT_stats",0.0127488126404833
"367","R2",62,"I","fit_all_stats",0.999072658482403
"368","R2",62,"I","fitsumStats",0.999478855610356
"369","R2",62,"I","fit_NT_stats",0.998449180666505
"370","rmse",62,"I","fit_all_stats",0.0553905555011064
"371","rmse",62,"I","fitsumStats",0.00808981289880555
"372","rmse",62,"I","fit_NT_stats",0.0139553279632089
"373","R2",63,"I","fit_all_stats",0.998659885823923
"374","R2",63,"I","fitsumStats",0.999313020156167
"375","R2",63,"I","fit_NT_stats",0.999175352554121
"376","rmse",63,"I","fit_all_stats",0.0797884476798701
"377","rmse",63,"I","fitsumStats",0.00924586255526307
"378","rmse",63,"I","fit_NT_stats",0.0101300034848721
"379","R2",64,"I","fit_all_stats",0.999034285169556
"380","R2",64,"I","fitsumStats",0.999488167325193
"381","R2",64,"I","fit_NT_stats",0.99863080523306
"382","rmse",64,"I","fit_all_stats",0.0573803888461238
"383","rmse",64,"I","fitsumStats",0.00843746948887453
"384","rmse",64,"I","fit_NT_stats",0.0138000553094614
"385","R2",65,"I","fit_all_stats",0.998909161590565
"386","R2",65,"I","fitsumStats",0.999340193136903
"387","R2",65,"I","fit_NT_stats",0.998913543944939
"388","rmse",65,"I","fit_all_stats",0.0645872459083601
"389","rmse",65,"I","fitsumStats",0.0104313315098881
"390","rmse",65,"I","fit_NT_stats",0.0133855868306155
"391","R2",66,"I","fit_all_stats",0.999877176510008
"392","R2",66,"I","fitsumStats",0.999304930084596
"393","R2",66,"I","fit_NT_stats",0.999458231970513
"394","rmse",66,"I","fit_all_stats",0.0152038365396301
"395","rmse",66,"I","fitsumStats",0.0039032645249997
"396","rmse",66,"I","fit_NT_stats",0.00344604088171016
"397","R2",67,"I","fit_all_stats",0.998747473161934
"398","R2",67,"I","fitsumStats",0.999221979481347
"399","R2",67,"I","fit_NT_stats",0.997680850968231
"400","rmse",67,"I","fit_all_stats",0.0734213297596589
"401","rmse",67,"I","fitsumStats",0.0101633560935125
"402","rmse",67,"I","fit_NT_stats",0.0175471240277548
"403","R2",68,"I","fit_all_stats",0.999051562714236
"404","R2",68,"I","fitsumStats",0.99947137055255
"405","R2",68,"I","fit_NT_stats",0.998504325920319
"406","rmse",68,"I","fit_all_stats",0.0563412983942826
"407","rmse",68,"I","fitsumStats",0.00831784229606949
"408","rmse",68,"I","fit_NT_stats",0.013991152479582
"409","R2",69,"I","fit_all_stats",0.999021830865699
"410","R2",69,"I","fitsumStats",0.999556065583387
"411","R2",69,"I","fit_NT_stats",0.998859307376184
"412","rmse",69,"I","fit_all_stats",0.05865248318581
"413","rmse",69,"I","fitsumStats",0.00819276474450497
"414","rmse",69,"I","fit_NT_stats",0.0131327414159553
"415","R2",70,"I","fit_all_stats",0.999032895321647
"416","R2",70,"I","fitsumStats",0.999491712462102
"417","R2",70,"I","fit_NT_stats",0.998651537207428
"418","rmse",70,"I","fit_all_stats",0.057500419106759
"419","rmse",70,"I","fitsumStats",0.00844342488055183
"420","rmse",70,"I","fit_NT_stats",0.0137525552004335
"421","R2",71,"I","fit_all_stats",0.999691622094466
"422","R2",71,"I","fitsumStats",0.999496722368307
"423","R2",71,"I","fit_NT_stats",0.999425700885073
"424","rmse",71,"I","fit_all_stats",0.0259756810943297
"425","rmse",71,"I","fitsumStats",0.00529793907013693
"426","rmse",71,"I","fit_NT_stats",0.00565942382232733
"427","R2",72,"I","fit_all_stats",0.998760475623128
"428","R2",72,"I","fitsumStats",0.999107856478169
"429","R2",72,"I","fit_NT_stats",0.99843459847364
"430","rmse",72,"I","fit_all_stats",0.0720396490743532
"431","rmse",72,"I","fitsumStats",0.0112964788004536
"432","rmse",72,"I","fit_NT_stats",0.0149636866426395
"433","R2",73,"I","fit_all_stats",0.998865693308577
"434","R2",73,"I","fitsumStats",0.999137078464686
"435","R2",73,"I","fit_NT_stats",0.998945591445924
"436","rmse",73,"I","fit_all_stats",0.0668187151512243
"437","rmse",73,"I","fitsumStats",0.0118092291020322
"438","rmse",73,"I","fit_NT_stats",0.0130539022000931
"439","R2",74,"I","fit_all_stats",0.999805974676383
"440","R2",74,"I","fitsumStats",0.999255125102103
"441","R2",74,"I","fit_NT_stats",0.999385221455104
"442","rmse",74,"I","fit_all_stats",0.0196825690307155
"443","rmse",74,"I","fitsumStats",0.00504417087632073
